sentence1,sentence2,score
"['lionel', 'richie', 'dancing', 'ceiling']","['lionel', 'ritchie', 'dances', 'standing', 'ceiling']",4.0
"['man', 'playing', 'piano']","['person', 'playing', 'piano']",4.4
"['woman', 'playing', 'flute']","['woman', 'plays', 'flute']",4.6
"['boy', 'checking', 'calender']","['boy', 'looking', 'calendar']",3.8
"['woman', 'cutting', 'onion']","['woman', 'chopping', 'onions']",4.8
"['man', 'playing', 'guitar']","['man', 'plays', 'guitar']",4.857
"['woman', 'using', 'sewing', 'machine']","['woman', 'sewing', 'machine']",5.0
"['woman', 'flipping', 'pancakes']","['cartoon', 'chef', 'flipping', 'pancakes']",2.533
"['man', 'running', 'road']","['car', 'driving', 'road']",1.0
"['man', 'riding', 'horse']","['man', 'talking', 'phone']",1.0
"['man', 'riding', 'bike']","['man', 'riding', 'horse']",2.0
"['woman', 'dancing']","['man', 'eating']",0.14300000000000002
"['man', 'playing', 'piano']","['man', 'playing', 'flute']",2.0
"['man', 'playing', 'flute']","['man', 'playing', 'piano']",1.6
"['man', 'spinning']","['man', 'dancing']",1.6
"['monkey', 'swinging', 'limb', 'limb']","['monkey', 'swinging', 'tree', 'tree']",3.4
"['people', 'got', 'train']","['people', 'got', 'train', 'station']",4.0
"['dog', 'jumping', 'trampoline']","['dog', 'bounces', 'trampoline']",4.8
"['boy', 'playing', 'instrument']","['man', 'playing', 'trumpet']",2.5
"['woman', 'plays', 'guitar']","['man', 'sings', 'plays', 'guitar']",1.75
"['woman', 'picking']","['woman', 'slicing', 'tomato']",1.0
"['man', 'climbing', 'rope']","['man', 'climbs', 'rope']",5.0
"['man', 'lifting', 'car']","['man', 'climbing', 'wall']",1.4
"['man', 'woman', 'driving', 'street', 'jeep']","['man', 'woman', 'driving', 'road', 'open', 'air', 'vehicle']",4.0
"['shirtless', 'man', 'sat', 'chair']","['shirtless', 'man', 'sitting', 'chair']",3.8
"['two', 'women', 'wrestling']","['two', 'women', 'wrestling', 'floor']",4.0
"['puppy', 'played', 'blue', 'tennis', 'ball']","['puppy', 'playing', 'tennis', 'ball']",4.0
"['kangroo', 'eating', 'something']","['kangaroo', 'eating']",4.8
"['cat', 'playing', 'piano']","['man', 'playing', 'guitar']",0.6000000000000001
"['man', 'cut', 'carpet', 'knife']","['man', 'cutting', 'carpet', 'knife']",4.75
"['woman', 'riding', 'motorized', 'scooter', 'road']","['man', 'riding', 'motor', 'scooter']",2.2
"['someone', 'slicing', 'vegetable']","['someone', 'slicing', 'tomato']",3.0
"['woman', 'dancing']","['man', 'talking']",0.0
"['dog', 'licks', 'babys', 'drool']","['dog', 'licks', 'baby']",2.2
"['man', 'rowing', 'boat']","['man', 'slicing', 'tomato']",0.4
"['man', 'cuts', 'potatos']","['man', 'slices', 'potatoes']",4.8
"['woman', 'chopping', 'garlic']","['woman', 'dicing', 'garlic']",4.8
"['animal', 'run', 'circles']","['squirrel', 'runs', 'circles']",3.8
"['man', 'walking', 'slowly', 'across', 'rope', 'bridge']","['boy', 'walking', 'across', 'bridge']",3.0
"['man', 'playing', 'guitar']","['man', 'seated', 'room', 'playing', 'guitar']",4.0
"['man', 'plays', 'flute']","['man', 'playing', 'flute']",5.0
"['woman', 'cracks', 'two', 'eggs', 'glass', 'bowl']","['woman', 'cracking', 'egg', 'bowl']",3.8
"['man', 'cutting', 'fish']","['man', 'guts', 'fish']",3.0
"['two', 'men', 'packing', 'suitcases', 'trunk', 'car']","['men', 'putting', 'suitcases', 'cars', 'trunk']",4.4
"['man', 'pours', 'oil', 'tomatos']","['man', 'poured', 'oil', 'cut', 'tomatoes']",3.8
"['man', 'slicing', 'something']","['man', 'slicing', 'bun']",3.0
"['man', 'paddling', 'canoe']","['man', 'playing', 'harp']",0.667
"['man', 'woman', 'walking', 'together', 'woods']","['man', 'woman', 'walking', 'arm', 'arm', 'wooded', 'area']",4.0
"['woman', 'picked', 'kangaroo']","['woman', 'picks', 'baby', 'kangaroo']",3.75
"['fish', 'swimming']","['fish', 'swimming']",4.133
"['two', 'women', 'mix', 'something', 'food', 'processor']","['two', 'women', 'make', 'something', 'blender']",4.0
"['person', 'surfing', 'large', 'wave']","['person', 'surfing']",3.6
"['man', 'playing', 'guitar']","['man', 'stabbing', 'target']",1.2
"['man', 'playing', 'flute', 'band']","['man', 'playing', 'guitar']",1.6
"['man', 'spread', 'butter', 'loaf', 'bread']","['man', 'spreading', 'butter', 'onto', 'bread']",4.0
"['person', 'boiling', 'noodles']","['woman', 'boiling', 'noodles', 'water']",4.0
"['group', 'people', 'dance', 'hill']","['group', 'people', 'dancing']",3.2
"['man', 'dancing', 'outside']","['man', 'playing', 'flute']",1.0
"['woman', 'feeding', 'man']","['woman', 'mixing', 'meat']",1.0
"['man', 'putting', 'pan', 'oven']","['woman', 'cutting', 'onion']",0.6000000000000001
"['woman', 'sitting', 'desk']","['woman', 'riding', 'donkey']",0.4
"['medics', 'transport', 'patient', 'stretcher']","['doctor', 'rushes', 'patient', 'stretcher']",3.4
"['woman', 'playing', 'flute', 'stage']","['woman', 'playing', 'flute']",3.6
"['two', 'baby', 'pandas', 'playing']","['two', 'pandas', 'laying', 'together']",3.0
"['baby', 'laughing']","['baby', 'laughing', 'giggling']",4.0
"['man', 'playing', 'guitar']","['boy', 'playing', 'piano']",1.2
"['man', 'folding', 'paper']","['woman', 'slicing', 'pepper']",0.6000000000000001
"['three', 'women', 'dancing']","['man', 'dancing']",1.6
"['cats', 'playing']","['two', 'cats', 'fighting']",2.6
"['person', 'writing']","['person', 'writing', 'pencil']",3.6
"['man', 'running']","['man', 'running', 'road']",3.5
"['woman', 'rolling', 'dough']","['woman', 'flouring', 'rolling', 'dough']",3.765
"['woman', 'adding', 'spices', 'meat']","['woman', 'adding', 'sugar', 'meat']",2.75
"['woman', 'adding', 'oil', 'fishes']","['woman', 'pouring', 'water', 'fish']",2.25
"['young', 'boy', 'holding', 'guitar']","['little', 'boy', 'playing', 'guitar']",2.75
"['cheetah', 'running']","['cheetah', 'running', 'across', 'field']",3.8
"['man', 'eating', 'pizza']","['man', 'eating', 'slice', 'pizza']",4.8
"['orangutan', 'riding', 'bus']","['monkey', 'riding', 'bus']",3.6
"['man', 'woman', 'talk', 'diner']","['man', 'woman', 'riding', 'bicycle']",1.2
"['man', 'playing', 'guitar']","['man', 'cleaning', 'glass', 'door']",0.4
"['girl', 'singing', 'playing', 'guitar']","['young', 'man', 'singing', 'playing', 'guitar']",2.4
"['girl', 'communicating', 'sign', 'language']","['young', 'girl', 'using', 'sign', 'language']",3.941
"['woman', 'weight', 'exercises']","['woman', 'hair']",0.5
"['man', 'getting', 'inside', 'car']","['elderly', 'man', 'getting', 'red', 'car']",3.75
"['big', 'green', 'ball', 'knocks', 'potato']","['large', 'green', 'ball', 'hits', 'potato']",4.0
"['cat', 'playing', 'keyboards']","['cat', 'playing', 'piano']",3.0
"['two', 'dogs', 'swim', 'pool']","['dogs', 'swimming', 'pool']",4.2
"['man', 'used', 'chopper', 'chop', 'onion']","['man', 'used', 'machine', 'chop', 'potatoe']",2.0
"['woman', 'slices', 'tofu']","['woman', 'cutting', 'tofu']",5.0
"['herd', 'deer', 'crossing', 'street']","['herd', 'caribou', 'crossing', 'road']",3.0
"['person', 'riding', 'horse']","['man', 'riding', 'horse']",3.8
"['someone', 'feeding', 'animal']","['someone', 'playing', 'piano']",0.0
"['someone', 'slicing', 'tortilas']","['someone', 'riding', 'horse']",0.0
"['someone', 'mixing', 'ingrediants']","['someone', 'sewing', 'things']",0.25
"['rooster', 'pecks', 'dead', 'mouse']","['chicken', 'pecking', 'dead', 'mouse']",4.0
"['woman', 'holds', 'kangaroo']","['woman', 'picking', 'kangaroo']",3.25
"['man', 'playing', 'frogs']","['cat', 'playing', 'camera']",0.75
"['two', 'men', 'talking']","['two', 'men', 'playing', 'guitar']",1.5
"['man', 'spreads', 'butter', 'big', 'piece', 'bread']","['man', 'smearing', 'butter', 'slice', 'garlic', 'bread']",3.5
"['man', 'running', 'across', 'high', 'wire']","['man', 'running', 'rope']",3.0
"['man', 'mowing', 'lawn']","['woman', 'cutting', 'lemon']",0.2
"['man', 'opening', 'door']","['man', 'playing', 'guitar']",0.8
"['man', 'slicing', 'potato', 'pieces']","['man', 'cutting', 'potato']",4.2
"['woman', 'cutting', 'cooked', 'octopus']","['woman', 'chopping', 'octopus']",3.8
"['man', 'punching', 'boards']","['dog', 'running', 'water']",0.4
"['man', 'dancing']","['man', 'eating', 'bread']",0.8
"['someone', 'playing', 'piano']","['man', 'playing', 'guitar']",1.2
"['two', 'foxes', 'eating', 'plate', 'brick', 'patio']","['foxes', 'eating', 'plate']",2.8
"['boy', 'playing', 'keyboard']","['boy', 'playing', 'piano']",3.2
"['person', 'plays', 'keyboard']","['someone', 'playing', 'keyboard']",5.0
"['man', 'shooting', 'gun']","['man', 'spitting']",0.0
"['someone', 'slicing', 'onion']","['someoen', 'peeling', 'potato']",1.0
"['man', 'swimming']","['woman', 'slicing', 'meat']",0.0
"['man', 'playing', 'guitar']","['man', 'plays', 'acoustic', 'guitar']",3.75
"['woman', 'slicing', 'pumpkin']","['woman', 'riding', 'elephant']",0.4
"['woman', 'dancing']","['woman', 'kneading', 'dough']",0.4
"['woman', 'cracking', 'eggs', 'bowl']","['woman', 'placing', 'skewers', 'onto', 'rack']",0.6000000000000001
"['car', 'moving', 'road']","['car', 'driving', 'road']",4.0
"['someone', 'greasing', 'pan']","['smeone', 'laying']",0.4
"['man', 'playing', 'guitar']","['man', 'draining', 'pasta']",0.4
"['woman', 'drinking', 'vodka']","['woman', 'exercising']",0.4
"['woman', 'cutting', 'meat', 'pieces']","['woman', 'cutting', 'meat']",4.8
"['man', 'rinsing', 'steak']","['man', 'playing', 'guitar']",0.6000000000000001
"['man', 'selling', 'items']","['man', 'cleaning', 'house']",0.8
"['man', 'jumping', 'wall']","['man', 'jumps', 'onto', 'short', 'wall']",3.2
"['runners', 'race', 'around', 'track']","['runners', 'compete', 'race']",3.2
"['man', 'kicking', 'soccer', 'ball']","['man', 'mixing', 'bowl']",0.6000000000000001
"['woman', 'frying', 'something']","['woman', 'riding', 'horse']",0.6000000000000001
"['cat', 'licking', 'sucker']","['woman', 'slicing', 'cucumber']",0.0
"['woman', 'dancing', 'fire']","['woman', 'taking', 'bath']",1.4
"['man', 'slicing', 'fish', 'open']","['man', 'slicing', 'potato']",2.2
"['butter', 'melting', 'pan']","['man', 'melting', 'butter', 'pan']",3.6
"['three', 'boys', 'dancing']","['kids', 'dancing']",3.111
"['woman', 'playing', 'game', 'man']","['man', 'playing', 'piano']",0.6000000000000001
"['man', 'driving', 'white', 'car']","['man', 'giving', 'interview']",0.4
"['man', 'drove', 'car']","['man', 'driving', 'car']",4.25
"['car', 'backs', 'space']","['car', 'backing', 'blocked', 'lane']",3.0
"['man', 'puts', 'cheese', 'pizza']","['man', 'sprinkled', 'cheese', 'pizza']",5.0
"['boy', 'playing', 'piano']","['boy', 'plays', 'piano']",5.0
"['man', 'played', 'guitar']","['man', 'playing', 'guitar']",3.75
"['man', 'riding', 'horse']","['man', 'playing', 'keyboard']",0.2
"['man', 'walking', 'rope']","['man', 'riding', 'mopad']",0.4
"['girl', 'playing', 'flute']","['band', 'playing', 'stage']",1.286
"['people', 'step', 'train']","['group', 'people', 'get', 'train']",4.6
"['woman', 'sewing', 'machine']","['woman', 'breading', 'meat']",0.6000000000000001
"['dog', 'looking', 'swimming', 'pool']","['dog', 'walking', 'around', 'pool']",2.0
"['man', 'buttering', 'piece', 'bread']","['man', 'applying', 'butter', 'bread']",5.0
"['man', 'cutting', 'tomatoes', 'pieces']","['woman', 'cutting', 'vegetables']",1.8
"['three', 'teenage', 'girls', 'danced', 'room']","['teenage', 'girls', 'dancing', 'camera']",2.4
"['lion', 'walking']","['lion', 'pacing', 'pen']",2.4
"['man', 'shooting', 'car']","['man', 'cutting', 'potato']",0.4
"['black', 'horse', 'running', 'around']","['horse', 'running']",4.2
"['woman', 'deveining', 'shrimp']","['man', 'dancing', 'rain']",0.0
"['man', 'riding', 'horse']","['woman', 'washing', 'freezer']",0.0
"['man', 'walks', 'path']","['man', 'walks', 'across', 'tight', 'rope']",0.8
"['man', 'slicing', 'potato']","['woman', 'cutting', 'jalepeno']",1.4
"['dog', 'barking', 'ball']","['dog', 'swims', 'tennis', 'ball']",1.5
"['kid', 'runs', 'away', 'fish', 'swinging', 'around', 'fishing', 'pole']","['little', 'kid', 'running', 'around', 'fishing', 'pole']",2.5
"['man', 'walking', 'along', 'path', 'wilderness']","['man', 'walking', 'road']",2.5
"['elderly', 'man', 'speaking', 'podium']","['man', 'making', 'speech', 'podium']",3.5
"['man', 'riding', 'horse', 'slow', 'motion']","['man', 'riding', 'horse']",3.4
"['person', 'cutting', 'burrata', 'cheese']","['person', 'slicing', 'cheese']",3.8
"['man', 'shooting', 'automatic', 'rifle']","['man', 'shooting', 'gun']",3.8
"['man', 'crushing', 'garlic', 'back', 'knife']","['woman', 'slicing', 'meat', 'knife']",1.5
"['woman', 'filing', 'fingernails', 'emery', 'board']","['woman', 'feeding', 'baby', 'bottle']",0.5
"['man', 'riding', 'skateboard']","['woman', 'cutting', 'potato']",0.0
"['woman', 'taking', 'shower']","['man', 'riding', 'white', 'horse']",0.0
"['man', 'dancing']","['man', 'riding', 'horse']",0.8
"['man', 'rowing', 'boat']","['man', 'shooting', 'gun']",0.85
"['man', 'swinging', 'rope', 'attached', 'ceiling']","['man', 'swinging', 'rope']",3.4
"['woman', 'riding', 'horse', 'beach']","['man', 'carrying', 'another', 'man', 'back']",0.4
"['man', 'holds', 'small', 'animal', 'one', 'hand']","['man', 'shows', 'small', 'monkey']",1.75
"['person', 'folding', 'square', 'paper', 'piece']","['man', 'folding', 'paper']",3.25
"['person', 'frying', 'meat', 'pan']","['person', 'holding', 'skunk']",0.75
"['chimpanzee', 'hurting', 'woman']","['man', 'driving', 'car']",0.0
"['woman', 'peeling', 'shrimp']","['man', 'holding', 'lemur']",0.0
"['two', 'zebras', 'playing']","['zebras', 'socializing']",4.25
"['woman', 'slicing', 'butter']","['woman', 'slices', 'tofu']",1.8
"['men', 'playing', 'guitars']","['three', 'men', 'playing', 'guitars', 'singing', 'together']",3.2
"['elephants', 'sprayed', 'water']","['elephants', 'spray', 'water']",3.6
"['dog', 'sat', 'counter', 'store']","['dog', 'standing', 'counter']",2.6
"['someone', 'drills', 'hole', 'strip', 'wood', 'power', 'drill']","['man', 'drills', 'hole', 'piece', 'wood']",3.2
"['woman', 'slicing', 'vegetables']","['woman', 'dicing', 'garlic']",2.8
"['badger', 'burrowing', 'hole']","['badger', 'digging', 'earth']",4.6
"['woman', 'water', 'skiing', 'lake']","['man', 'playing', 'flute']",0.0
"['girl', 'playing', 'violin']","['baby', 'laughing', 'giggling']",0.25
"['helicopter', 'landing', 'helipad']","['helicopter', 'lands']",3.923
"['woman', 'cutting', 'chicken']","['woman', 'slicing', 'meat']",2.75
"['woman', 'cutting', 'cucumber']","['man', 'playing', 'guitar']",0.0
"['woman', 'rides', 'elephant', 'front', 'adoring', 'crowd']","['woman', 'rides', 'elephant']",3.0
"['puppy', 'sliding', 'backwards', 'along', 'floor']","['puppy', 'pushing', 'backwards']",3.8
"['woman', 'splits', 'garlic', 'cloves']","['woman', 'breaking', 'head', 'garlic', 'cloves']",4.6
"['dog', 'looking', 'swimming', 'pool']","['dog', 'walking', 'along', 'edge', 'pool']",2.6
"['woman', 'mixes', 'beauty', 'treatment', 'glass']","['woman', 'mixing', 'cream', 'glass', 'spoon']",3.6
"['man', 'drawing', 'picture']","['person', 'drawing']",3.6
"['woman', 'picking', 'tomatoes']","['woman', 'pouring', 'batter', 'bowl']",1.0
"['man', 'looking', 'computer', 'monitor']","['man', 'using', 'laptop']",2.75
"['boy', 'riding', 'tricycle']","['woman', 'riding', 'water', 'scooter']",1.25
"['two', 'men', 'compete', 'tire', 'rolling', 'race']","['two', 'people', 'flipped', 'tractor', 'tires', 'race']",2.75
"['person', 'cutting', 'meat']","['person', 'riding', 'mechanical', 'bull']",0.0
"['man', 'playing', 'violin']","['woman', 'using', 'sewing', 'machine']",0.0
"['baby', 'crawled', 'doorway']","['baby', 'crawling', 'across', 'floor']",2.4
"['man', 'playing', 'keyboard']","['person', 'playing', 'piano']",2.2
"['man', 'smelling', 'two', 'pizzas']","['woman', 'feeding', 'man']",0.2
"['monkey', 'pulls', 'tail', 'dog']","['monkey', 'teasing', 'dog', 'zoo']",2.8
"['dog', 'lies', 'back', 'wooden', 'floor']","['dog', 'laying', 'floor']",4.0
"['woman', 'frying', 'something', 'pan']","['man', 'playing', 'guitar']",0.0
"['man', 'puts', 'seasoning', 'bowl', 'water']","['man', 'added', 'seasoning', 'water', 'bowl']",5.0
"['elderly', 'woman', 'pouring', 'oil', 'frying', 'pan']","['tied', 'man', 'putting', 'water']",0.0
"['woman', 'chopping', 'onion']","['woman', 'slicing', 'partially', 'half', 'onion']",3.2
"['woman', 'picked', 'kangaroo']","['woman', 'carrying', 'kangaroo']",3.5
"['dog', 'biting']","['dog', 'opens', 'food']",1.75
"['woman', 'deboning', 'fish']","['man', 'catches', 'fish']",1.25
"['man', 'mowing', 'grass']","['man', 'busting', 'concrete']",0.833
"['cat', 'watching', 'tv']","['man', 'slicing', 'leave']",0.0
"['boy', 'stuck', 'door', 'doghouse']","['child', 'stuck', 'dog', 'house']",3.75
"['people', 'flip', 'swimming', 'pool']","['men', 'falling', 'pool']",2.75
"['woman', 'swims', 'underwater']","['woman', 'swimming']",3.8
"['man', 'playing', 'guitar']","['woman', 'dancing']",0.2
"['airplane', 'flying', 'air']","['south', 'african', 'airways', 'plane', 'flying', 'blue', 'sky']",3.4
"['bear', 'running', 'two', 'dogs']","['bear', 'fighting', 'wolves']",1.4
"['woman', 'resting', 'floating', 'raft']","['woman', 'relaxes', 'inner', 'tube']",3.8
"['man', 'dieing', 'operating', 'room']","['man', 'kissing', 'woman', 'stage']",0.4
"['man', 'holding', 'leaf']","['woman', 'watching', 'television']",0.0
"['person', 'riding', 'horse']","['woman', 'slicing', 'potatoes']",0.0
"['woman', 'slicing', 'octopus']","['man', 'playing', 'guitar']",0.0
"['man', 'breaking', 'water', 'jugs']","['woman', 'peeling', 'garlic']",0.2
"['man', 'playing', 'guitar']","['woman', 'cutting', 'vegetable']",0.0
"['girl', 'eating', 'cupcake']","['man', 'slicing', 'cucumber']",0.0
"['little', 'girl', 'played', 'grass', 'dog', 'ball']","['baby', 'plays', 'dog', 'ball']",3.8
"['people', 'ride', 'paddle', 'raft']","['four', 'people', 'floating', 'raft']",2.25
"['lady', 'cut', 'potatoe']","['man', 'cutting', 'potato']",2.4
"['missile', 'exploded']","['rocket', 'exploded']",3.2
"['dog', 'playing', 'snow']","['dog', 'pawing', 'fly', 'carpet']",1.6
"['woman', 'dancing', 'women']","['woman', 'shredding', 'chicken']",0.4
"['boy', 'pushing', 'van']","['person', 'slicing', 'tomato']",0.0
"['boy', 'making', 'dance', 'steps']","['boy', 'pouring', 'something', 'pitcher']",0.4
"['woman', 'opening', 'soda', 'drinking']","['woman', 'riding', 'elephant']",0.6000000000000001
"['man', 'assembling', 'speaker', 'parts']","['man', 'playing', 'guitar']",1.0
